18494=Waiting Staff;waiting_staff
18495=Other;other_hospitality
18492=Bar & Beverage Staff;bar_beverage_staff
18493=Front Office & Guest Services;front_office_guest_services
22193=Training & Development;training_development
22194=Other;other_recruitment_hr
20104=Caravan & Campervan Accessories;caravan_campervan_parts_accessories
18388=Other;other_sports_recreation
20103=Building Materials;building_materials
20088=conditioner Air Conditioning Heating;air_conditioning_heating
20102=Plants;hg_garden_plants
20101=Other Safety;other_safety
18384=Other;other_farming_veterinary
21023=Ceiling Lights;hg_lighting_ceiling
20085=Lighting Other;hg_lighting_other
18385=Gardening & Landscaping;gardening_landscaping
20105=Camper Trailers;camper_trailers
18476=Wheels, Tyres & Rims;wheels_tyres_rims
18355=Teaching;teaching
18597=iPhone;mobile_phones
18478=Other Parts & Accessories;other_parts_accessories
18479=Brakes & Suspension;brakes_suspension
18358=Other Computer, Telecom & Freelance;other_computer_telecom_freelance
18351=Other;other_administration_office
18472=Music Tutoring;music_tutoring
18473=Audio, GPS & Car Alarms;audio_gps_car_alarms
18474=Auto Body parts;auto_body_parts
18353=Retail Assistant;retail_assistant
18354=Sales Representative/Consultant;sales_representative_consultant
18470=Graphic Design;graphic_design
22171=Administrative Assistant;administrative_assistant
22293=Interaction & Web Design;interaction_web_design
22173=Receptionist;receptionist
20063=ovens;hg_appliances_ovens
22294=Other;other_design_architecture
21003=Microwave;hg_appliances_microwaves
18367=Property For Sale;property_for_sale
18489=Other;other_community_services_development
18364=Property for Rent;rentals
18480=Oil, Coolant & Liquids;oil_coolant_liquids
18481=Truck Parts;truck_parts
18482=Wrecking;wrecking
22181=Admin;real_estate_admin
22182=Facilities Management & Body Corporate;facilities_management_body_corporate
22183=Commercial Sales, Leasing & Property Mgmt;commercial_sales_leasing_property_mgmt
22184=Residential Leasing & Property Management;residential_leasing_property_management
22185=Residential Sales;residential_sales
18577=Baby Carriers;baby_carriers
18451=Tax, Insurance & Financial;tax_insurance_financial
20098=Safety Gates;safety_gates
18453=Taxi, Chauffeur & Airport Transfer;taxi_chauffeur_airport_transfer
20097=Car Seats;car_seats
22275=Performing Arts;performing_arts
22276=Other;other_advertising_arts_media
22271=Account Manager;account_manager
22273=Writing & Journalist;writing_journalist
22152=Developer/Programmer;developer_programmer
20094=Tool Storage & Benches;hg_tools_diy_storage
20093=Power Tools;hg_tools_diy_power_tools
18579=Baths;baths
20090=Hand Tools;hg_tools_diy_hand
18344=Other;other_information_communication_technology
18465=Childcare Services;child_care_nanny
18586=Toys - Outdoor;outdoor_toys
18467=Real Estate;real_estate_services
18347=Other Jobs;other_jobs
18468=Business For Sale;business_for_sale
18461=Other Automotive;other_automotive
18582=Maternity Clothing;maternity_clothing
18583=Prams & Strollers;prams_and_strollers
18463=Removalist;removalist
18584=Other Baby & Children;other_baby_maternity
18343=Chef & Cook;culinary
18585=Toys - Indoor;indoor_toys
